city_ascii,lat,lng,admin_name,capital
Ceske Budejovice,48.98,14.46,Jihočeský Kraj ,admin
Brno,49.2004,16.61,Jihomoravský Kraj,admin
Karlovy Vary,50.237,12.875,Karlovarský Kraj,admin
Hradec Kralove,50.206,15.812,Královéhradecký Kraj,admin
Liberec,50.8,15.08,Liberecký Kraj,admin
Ostrava,49.8304,18.25,Moravskoslezský Kraj ,admin
Olomouc,49.63,17.25,Olomoucký Kraj,admin
Pardubice,50.0404,15.76,Pardubický Kraj,admin
Plzen,49.7404,13.36,Plzeňský Kraj,admin
Prague,50.0833,14.466,Praha Hlavní Město,primary
Usti nad Labem,50.663,14.081,Ústecký Kraj,admin
Jihlava,49.4004,15.5833,Vysočina,admin
Zlin,49.2304,17.65,Zlínský Kraj,admin
