city_ascii,lat,lng,admin_name,capital
Banda Aceh,5.55,95.32,Aceh,admin
Lhokseumawe,5.1914,97.1415,Aceh,
Langsa,4.6736,97.9664,Aceh,
Denpasar,-8.65,115.22,Bali,admin
Singaraja,-8.1152,115.0944,Bali,minor
Kulat,-8.7151,115.1841,Bali,
Serang,-6.11,106.1496,Banten,admin
Bengkulu,-3.8,102.27,Bengkulu,admin
Gorontalo,0.55,123.07,Gorontalo,admin
Jakarta,-6.1744,106.8294,Jakarta,primary
Jambi,-1.59,103.61,Jambi,admin
Sungai Penuh,-2.0631,101.3964,Jambi,
Bandung,-6.95,107.57,Jawa Barat,admin
Bekasi,-6.2173,106.9723,Jawa Barat,
Bogor,-6.57,106.75,Jawa Barat,
Sukabumi,-6.9096,106.9,Jawa Barat,
Tasikmalaya,-7.3254,108.2147,Jawa Barat,
Cirebon,-6.7333,108.5666,Jawa Barat,
Indramayu,-6.3356,108.319,Jawa Barat,minor
Semarang,-6.9666,110.42,Jawa Tengah,admin
Cilacap,-7.7188,109.0154,Jawa Tengah,minor
Surakarta,-7.565,110.825,Jawa Tengah,
Pekalongan,-6.8796,109.67,Jawa Tengah,
Tegal,-6.8696,109.12,Jawa Tengah,
Salatiga,-7.3095,110.4901,Jawa Tengah,
Pati,-6.7415,111.0347,Jawa Tengah,minor
Magelang,-7.4696,110.18,Jawa Tengah,
Surabaya,-7.2492,112.7508,Jawa Timur,admin
Malang,-7.98,112.61,Jawa Timur,
Pasuruan,-7.6296,112.9,Jawa Timur,
Jember,-8.1727,113.6873,Jawa Timur,minor
Kediri,-7.7896,112,Jawa Timur,
Madiun,-7.6346,111.515,Jawa Timur,
Probolinggo,-7.7496,113.15,Jawa Timur,
Banyuwangi,-8.195,114.3696,Jawa Timur,minor
Blitar,-8.0696,112.15,Jawa Timur,
Mojokerto,-7.4696,112.43,Jawa Timur,
Sumenep,-7.0049,113.8496,Jawa Timur,minor
Tuban,-6.8995,112.05,Jawa Timur,minor
Pontianak,-0.03,109.32,Kalimantan Barat,admin
Singkawang,0.912,108.9655,Kalimantan Barat,
Banjarmasin,-3.33,114.5801,Kalimantan Selatan,admin
Martapura,-3.4135,114.8365,Kalimantan Selatan,minor
Palangkaraya,-2.2096,113.91,Kalimantan Tengah,admin
Sampit,-2.5329,112.95,Kalimantan Tengah,minor
Kuala Kapuas,-3.0996,114.35,Kalimantan Tengah,minor
Samarinda,-0.5,117.15,Kalimantan Timur,admin
Balikpapan,-1.25,116.83,Kalimantan Timur,
Bontang,0.1333,117.5,Kalimantan Timur,
Tarakan,3.3,117.633,Kalimantan Utara,
Tanjung Selor,2.8375,117.3653,Kalimantan Utara,admin
Pangkalpinang,-2.08,106.15,Kepulauan Bangka Belitung,admin
Tanjungpandan,-2.75,107.65,Kepulauan Bangka Belitung,minor
