city_ascii,lat,lng,admin_name,capital
Port Blair,11.667,92.736,Andaman and Nicobar Islands,admin
Vishakhapatnam,17.73,83.305,Andhra Pradesh,
Bezwada,16.52,80.63,Andhra Pradesh,
Nellore,14.44,79.9899,Andhra Pradesh,
Guntur,16.33,80.45,Andhra Pradesh,
Kurnool,15.83,78.03,Andhra Pradesh,
Rajahmundry,17.0303,81.79,Andhra Pradesh,
Kakinada,16.9675,82.2375,Andhra Pradesh,
Tirupati,13.6504,79.42,Andhra Pradesh,
Chirala,15.8604,80.34,Andhra Pradesh,
Ongole,15.5604,80.05,Andhra Pradesh,
Proddatur,14.7504,78.57,Andhra Pradesh,
Machilipatnam,16.2004,81.18,Andhra Pradesh,
Nandyal,15.5204,78.48,Andhra Pradesh,
Vizianagaram,18.1204,83.5,Andhra Pradesh,
Hindupur,13.7804,77.49,Andhra Pradesh,
Itanagar,27.1004,93.6166,Arunāchal Pradesh,admin
Guwahati,26.16,91.77,Assam,
Dibrugarh,27.4833,94.9,Assam,
Silchar,24.7904,92.79,Assam,
Dispur,26.144,91.7666,Assam,admin
Jorhat,26.75,94.2167,Assam,
Tezpur,26.6338,92.8,Assam,
Patna,25.625,85.13,Bihār,admin
Gaya,24.8,85,Bihār,
Bhagalpur,25.23,86.98,Bihār,
Muzaffarpur,26.1204,85.3799,Bihār,
Purnea,25.7854,87.48,Bihār,
Aurangabad,24.7704,84.38,Bihār,
Chandigarh,30.72,76.78,Chandīgarh,admin
Bhilai,21.2167,81.4333,Chhattīsgarh,
Raipur,21.235,81.635,Chhattīsgarh,admin
Bilaspur,22.0904,82.16,Chhattīsgarh,
Silvassa,20.2666,73.0166,Dādra and Nagar Haveli,admin
Daman,20.417,72.85,Damān and Diu,admin
Diu,20.7197,70.9904,Damān and Diu,
Delhi,28.67,77.23,Delhi,admin
New Delhi,28.6,77.2,Delhi,primary
Panaji,15.492,73.818,Goa,admin
Ahmadabad,23.0301,72.58,Gujarāt,minor
Surat,21.2,72.84,Gujarāt,
Vadodara,22.31,73.18,Gujarāt,
Rajkot,22.31,70.8,Gujarāt,
Bhavnagar,21.7784,72.13,Gujarāt,
Bhuj,23.2504,69.81,Gujarāt,
Porbandar,21.67,69.67,Gujarāt,
Ghandinagar,23.3004,72.6399,Gujarāt,admin
Navsari,20.8504,72.92,Gujarāt,
Faridabad,28.4333,77.3167,Haryāna,
Hisar,29.17,75.725,Haryāna,
Rohtak,28.9,76.58,Haryāna,
Panipat,29.4004,76.97,Haryāna,
Sonipat,29,77.02,Haryāna,
Karnal,29.6804,76.97,Haryāna,
Gurgaon,28.45,77.02,Haryāna,
Bhiwani,28.81,76.125,Haryāna,
Sirsa,29.4904,75.03,Haryāna,
Ambala,30.32,76.82,Haryāna,
Shimla,31.1,77.1666,Himāchal Pradesh,admin
Srinagar,34.1,74.815,Jammu and Kashmīr,admin
Jammu,32.7118,74.8467,Jammu and Kashmīr,
Baramula,34.2004,74.35,Jammu and Kashmīr,
Sopur,34.3,74.4667,Jammu and Kashmīr,
Jamshedpur,22.7875,86.1975,Jharkhand,
Dhanbad,23.8004,86.42,Jharkhand,
Ranchi,23.37,85.33,Jharkhand,admin
Bengaluru,12.97,77.56,Karnātaka,admin
Hubli,15.36,75.125,Karnātaka,
Mysore,12.31,76.66,Karnātaka,
Mangalore,12.9,74.85,Karnātaka,
Shimoga,13.9304,75.56,Karnātaka,
Belgaum,15.865,74.505,Karnātaka,
Davangere,14.47,75.92,Karnātaka,
Gulbarga,17.35,76.82,Karnātaka,
Bellary,15.15,76.915,Karnātaka,
Tumkur,13.33,77.1,Karnātaka,
Bidar,17.9229,77.5175,Karnātaka,
Hospet,15.2804,76.375,Karnātaka,
Mandya,12.5704,76.92,Karnātaka,
Bijapur,16.8354,75.71,Karnātaka,
Raichur,16.2104,77.355,Karnātaka,
Kolar,13.1337,78.1334,Karnātaka,
Kochi,10.015,76.2239,Kerala,
Thiruvananthapuram,8.5,76.95,Kerala,admin
Calicut,11.2504,75.77,Kerala,minor
Quilon,8.9004,76.57,Kerala,
Alleppey,9.5004,76.37,Kerala,
Kavaratti,10.5626,72.6369,Lakshadweep,admin
Indore,22.7151,75.865,Madhya Pradesh,
Bhopal,23.25,77.41,Madhya Pradesh,admin
Jabalpur,23.1751,79.9551,Madhya Pradesh,
Gwalior,26.23,78.1801,Madhya Pradesh,
Ujjain,23.1904,75.79,Madhya Pradesh,
Saugor,23.8504,78.75,Madhya Pradesh,
Ratlam,23.3504,75.03,Madhya Pradesh,
Burhanpur,21.3004,76.13,Madhya Pradesh,
Mumbai,19.017,72.857,Mahārāshtra,admin
Pune,18.53,73.85,Mahārāshtra,
Nagpur,21.17,79.09,Mahārāshtra,
Kalyan,19.2502,73.1602,Mahārāshtra,
Nasik,20.0004,73.78,Mahārāshtra,
Aurangabad,19.8957,75.3203,Mahārāshtra,
Solapur,17.6704,75.9,Mahārāshtra,
Bhiwandi,19.35,73.13,Mahārāshtra,
Kolhapur,16.7,74.22,Mahārāshtra,
Amravati,20.95,77.77,Mahārāshtra,
Malegaon,20.5604,74.525,Mahārāshtra,
Nanded,19.17,77.3,Mahārāshtra,
Sangli,16.8604,74.575,Mahārāshtra,
Chanda,19.97,79.3,Mahārāshtra,
Akola,20.71,77.01,Mahārāshtra,
Dhulia,20.9,74.77,Mahārāshtra,
Ahmadnagar,19.1104,74.75,Mahārāshtra,
Parbhani,19.2704,76.76,Mahārāshtra,
Latur,18.4004,76.57,Mahārāshtra,
Bhusaval,21.02,75.83,Mahārāshtra,
Imphal,24.8,93.95,Manipur,admin
Shillong,25.5705,91.88,Meghālaya,admin
Aizawl,23.7104,92.72,Mizoram,admin
Kohima,25.667,94.1166,Nāgāland,admin
