city_ascii,lat,lng,admin_name,capital
Auckland,-36.8481,174.763,Auckland,admin
Manukau City,-37,174.885,Auckland,
Waitakere,-36.8524,174.5543,Auckland,
Northcote,-36.7913,174.7758,Auckland,
Tauranga,-37.6964,176.1536,Bay of Plenty,
Whakatane,-37.9574,176.9828,Bay of Plenty,admin
Rotorua,-38.1317,176.2483,Bay of Plenty,
Christchurch,-43.535,172.63,Canterbury,admin
Timaru,-44.3972,171.2425,Canterbury,
Ashton,-43.8983,171.7486,Canterbury,
Kairaki,-43.3813,172.651,Canterbury,
Kaikoura,-42.4012,173.6897,Canterbury,
Waitangi,-44.0263,-176.3696,Chatham Islands,admin
Gisborne,-38.6633,178.0181,Gisborne,admin
Napier,-39.49,176.9265,Hawke’s Bay,admin
Palmerston North,-40.3527,175.6072,Manawatu-Wanganui,admin
Whanganui,-39.9326,175.0393,Manawatu-Wanganui,
Levin,-40.6124,175.2772,Manawatu-Wanganui,
Blenheim,-41.5135,173.955,Marlborough,admin
Renwick,-41.2805,174.0166,Marlborough,
Nelson,-41.2926,173.2474,Nelson,admin
Whangarei,-35.7256,174.323,Northland,admin
Kerikeri,-35.2285,173.9507,Northland,
Kaitaia,-35.1099,173.2727,Northland,
Dunedin,-45.8854,170.491,Otago,admin
Macetown,-45.0227,168.7251,Otago,
Wanaka,-44.698,169.1449,Otago,
Invercargill,-46.4094,168.365,Southland,admin
Te Anau,-45.4074,167.7585,Southland,
Halfmoon Bay,-46.8876,168.1666,Southland,
Glencoe,-46.0947,168.9604,Southland,
Stratford,-39.3409,174.2845,Taranaki,admin
New Plymouth,-39.0556,174.0748,Taranaki,
Hawera,-39.5795,174.278,Taranaki,
Richmond,-41.339,173.185,Tasman,admin
Hamilton,-37.7783,175.2896,Waikato,admin
Taupo,-38.693,176.0771,Waikato,
Cambridge,-37.8894,175.4703,Waikato,
Tokoroa,-38.2245,175.8705,Waikato,
Thames,-37.1384,175.5853,Waikato,
Turangi,-38.9889,175.8142,Waikato,
Wellington,-41.3,174.7833,Wellington,primary
Lower Hutt,-41.2037,174.9123,Wellington,
Upper Hutt,-41.1355,175.029,Wellington,
Porirua,-41.1219,174.8524,Wellington,
Paraparaumu,-40.9034,174.9989,Wellington,
Masterton,-40.9439,175.6456,Wellington,
Greymouth,-42.4716,171.2231,West Coast,admin
Hokitika,-42.7072,171.01,West Coast,
Westport,-41.7638,171.6028,West Coast,
Pukekohe East,-37.2015,174.9033,,
