city_ascii,lat,lng,admin_name,capital
Canberra,-35.283,149.129,Australian Capital Territory,primary
Sydney,-33.92,151.1852,New South Wales,admin
Newcastle,-32.8453,151.815,New South Wales,
Wollongong,-34.4154,150.89,New South Wales,
Albury,-36.06,146.92,New South Wales,
Nowra,-34.8828,150.6,New South Wales,
Coffs Harbour,-30.3071,153.1123,New South Wales,
Wagga Wagga,-35.1222,147.34,New South Wales,
Port Macquarie,-31.445,152.9187,New South Wales,
Taree,-31.8976,152.4618,New South Wales,
Orange,-33.28,149.1,New South Wales,
Tamworth,-31.1026,150.9171,New South Wales,
Tweed Heads,-28.1826,153.5466,New South Wales,
Queanbeyan,-35.3546,149.2113,New South Wales,
Dubbo,-32.26,148.5973,New South Wales,
Lismore,-28.8167,153.2931,New South Wales,
Armidale,-30.5123,151.6675,New South Wales,
Katoomba,-33.7069,150.32,New South Wales,
Goulburn,-34.7496,149.7102,New South Wales,
Maitland,-32.721,151.555,New South Wales,
Tuncurry,-32.1931,152.5266,New South Wales,
Broken Hill,-31.95,141.4331,New South Wales,
Griffith,-34.29,146.04,New South Wales,
Ballina,-28.8614,153.568,New South Wales,
Richmond,-33.5995,150.74,New South Wales,
Singleton,-32.5695,151.16,New South Wales,
Kempsey,-31.0874,152.822,New South Wales,
Muswellbrook,-32.2696,150.89,New South Wales,
Parkes,-33.1296,148.17,New South Wales,
Lithgow,-33.4961,150.1528,New South Wales,
Batemans Bay,-35.6896,150.2073,New South Wales,
Kiama,-34.7096,150.84,New South Wales,
Grafton,-29.712,152.9377,New South Wales,
Ulladulla,-35.3495,150.47,New South Wales,
Inverell,-29.7668,151.1126,New South Wales,
Moree,-29.4699,149.8301,New South Wales,
Deniliquin,-35.5296,144.95,New South Wales,
Young,-34.3096,148.29,New South Wales,
Leeton,-34.5449,146.3973,New South Wales,
Gunnedah,-30.987,150.2623,New South Wales,
Narrabri,-30.3319,149.7874,New South Wales,
Cowra,-33.8296,148.68,New South Wales,
Byron Bay,-28.6565,153.6129,New South Wales,
Tumut,-35.3096,148.22,New South Wales,
Cooma,-36.2396,149.12,New South Wales,
Merimbula,-36.8996,149.9,New South Wales,
Bathurst,-33.4196,149.57,New South Wales,
Mudgee,-32.5896,149.5801,New South Wales,
Forbes,-33.3896,148.02,New South Wales,
Scone,-32.0796,150.8501,New South Wales,
Central Coast,-33.42,151.3,New South Wales,
Bourke,-30.1,145.9333,New South Wales,
Yamba,-29.423,153.3533,New South Wales,
Wilcannia,-31.5662,143.3833,New South Wales,
Ivanhoe,-32.8996,144.3,New South Wales,
Darwin,-12.4254,130.85,Northern Territory,admin
Alice Springs,-23.701,133.88,Northern Territory,
Katherine,-14.4666,132.2666,Northern Territory,
McMinns Lagoon,-12.5329,131.05,Northern Territory,
Yulara,-25.2405,130.9889,Northern Territory,
Pine Creek,-13.8162,131.8167,Northern Territory,
Adelaide River,-13.2495,131.1,Northern Territory,
Brisbane,-27.455,153.0351,Queensland,admin
Gold Coast,-28.0815,153.4482,Queensland,
Cairns,-16.8878,145.7633,Queensland,
Townsville,-19.25,146.77,Queensland,
Caloundra,-26.8,153.1333,Queensland,
Toowoomba,-27.5645,151.9555,Queensland,
Mackay,-21.1439,149.15,Queensland,
