city_ascii,lat,lng,country,iso2,iso3,admin_name,capital
Faizabad,37.1298,70.5792,Afghanistan,AF,AFG,Badakhshān,admin
Qal`ah-ye Now,34.983,63.1333,Afghanistan,AF,AFG,Bādghīs,admin
Baghlan,36.1393,68.6993,Afghanistan,AF,AFG,Baghlān,minor
Pul-e Khumri,35.9511,68.7011,Afghanistan,AF,AFG,Baghlān,admin
Mazar-e Sharif,36.7,67.1,Afghanistan,AF,AFG,Balkh,admin
Balkh,36.7501,66.8997,Afghanistan,AF,AFG,Balkh,minor
Bamyan,34.8211,67.521,Afghanistan,AF,AFG,Bāmyān,admin
Nili,33.7218,66.1302,Afghanistan,AF,AFG,Dāykundī,admin
Farah,32.3917,62.0968,Afghanistan,AF,AFG,Farāh,admin
Maimanah,35.9302,64.7701,Afghanistan,AF,AFG,Fāryāb,admin
Andkhoy,36.9317,65.1015,Afghanistan,AF,AFG,Fāryāb,minor
Ghazni,33.5633,68.4178,Afghanistan,AF,AFG,Ghaznī,admin
Fayroz Koh,34.5167,65.25,Afghanistan,AF,AFG,Ghōr,admin
Lashkar Gah,31.583,64.36,Afghanistan,AF,AFG,Helmand,admin
Herat,34.33,62.17,Afghanistan,AF,AFG,Herāt,admin
Karukh,34.4868,62.5918,Afghanistan,AF,AFG,Herāt,minor
Shibirghan,36.658,65.7383,Afghanistan,AF,AFG,Jowzjān,admin
Kabul,34.5167,69.1833,Afghanistan,AF,AFG,Kābul,primary
Kandahar,31.61,65.6949,Afghanistan,AF,AFG,Kandahār,admin
Mahmud-e Raqi,35.0167,69.3333,Afghanistan,AF,AFG,Kāpīsā,admin
Khost,33.3395,69.9204,Afghanistan,AF,AFG,Khōst,admin
Asadabad,34.866,71.15,Afghanistan,AF,AFG,Kunaṟ,admin
Kunduz,36.728,68.8725,Afghanistan,AF,AFG,Kunduz,admin
Mehtar Lam,34.65,70.1667,Afghanistan,AF,AFG,Laghmān,admin
Pul-e `Alam,33.9953,69.0227,Afghanistan,AF,AFG,Lōgar,admin
Baraki Barak,33.9667,68.9667,Afghanistan,AF,AFG,Lōgar,minor
Jalalabad,34.4415,70.4361,Afghanistan,AF,AFG,Nangarhār,admin
Zaranj,31.112,61.887,Afghanistan,AF,AFG,Nīmrōz,admin
Parun,35.4206,70.9226,Afghanistan,AF,AFG,Nūristān,admin
Sharan,33.1757,68.7304,Afghanistan,AF,AFG,Paktīkā,admin
Zarghun Shahr,32.85,68.4167,Afghanistan,AF,AFG,Paktīkā,
Gardez,33.6001,69.2146,Afghanistan,AF,AFG,Paktiyā,admin
Bazarak,35.3129,69.5152,Afghanistan,AF,AFG,Panjshir,admin
Charikar,35.0183,69.1679,Afghanistan,AF,AFG,Parwān,admin
Aibak,36.261,68.04,Afghanistan,AF,AFG,Samangān,admin
Sar-e Pul,36.2154,65.9325,Afghanistan,AF,AFG,Sar-e Pul,admin
Taluqan,36.73,69.54,Afghanistan,AF,AFG,Takhār,admin
Tarin Kot,32.6333,65.8667,Afghanistan,AF,AFG,Uruzgān,admin
Maidan Shahr,34.3956,68.8662,Afghanistan,AF,AFG,Wardak,admin
Kotah-ye `Ashro,34.45,68.8,Afghanistan,AF,AFG,Wardak,
Qalat,32.1123,66.8868,Afghanistan,AF,AFG,Zābul,admin
Berat,40.71,19.972,Albania,AL,ALB,Berat,admin
Corovode,40.5167,20.2333,Albania,AL,ALB,Berat,
Peshkopi,41.6833,20.4333,Albania,AL,ALB,Dibër,admin
Burrel,41.626,20.016,Albania,AL,ALB,Dibër,
Durres,41.3178,19.4482,Albania,AL,ALB,Durrës,admin
Kruje,41.519,19.797,Albania,AL,ALB,Durrës,
Elbasan,41.1215,20.0838,Albania,AL,ALB,Elbasan,admin
Librazhd,41.2,20.3667,Albania,AL,ALB,Elbasan,
Gramsh,40.8667,20.2,Albania,AL,ALB,Elbasan,
Fier,40.73,19.573,Albania,AL,ALB,Fier,admin
Lushnje,40.94,19.716,Albania,AL,ALB,Fier,
Gjirokaster,40.079,20.149,Albania,AL,ALB,Gjirokastër,admin
Tepelene,40.2833,20.0333,Albania,AL,ALB,Gjirokastër,
Permet,40.234,20.352,Albania,AL,ALB,Gjirokastër,
Korce,40.6167,20.7667,Albania,AL,ALB,Korçë,admin
Pogradec,40.9,20.664,Albania,AL,ALB,Korçë,
Erseke,40.3333,20.6833,Albania,AL,ALB,Korçë,
Kukes,42.083,20.434,Albania,AL,ALB,Kukës,admin
