city_ascii,lat,lng,admin_name,capital
Stuttgart,48.78,9.2,Baden-Württemberg,admin
Mannheim,49.5004,8.47,Baden-Württemberg,minor
Heidelberg,49.42,8.7,Baden-Württemberg,minor
Karlsruhe,49,8.4,Baden-Württemberg,minor
Freiburg im Breisgau,48.0004,7.8699,Baden-Württemberg,minor
Ulm,48.4004,10,Baden-Württemberg,minor
Munich,48.1299,11.575,Bavaria,admin
Nuremberg,49.45,11.08,Bavaria,minor
Augsburg,48.35,10.9,Bavaria,minor
Furth,49.47,11,Bavaria,minor
Wurzburg,49.8004,9.95,Bavaria,minor
Regensburg,49.0204,12.12,Bavaria,minor
Ingolstadt,48.7704,11.45,Bavaria,minor
Rosenheim,47.8503,12.1333,Bavaria,minor
Coburg,50.2666,10.9666,Bavaria,minor
Hof,50.317,11.9167,Bavaria,minor
Passau,48.567,13.4666,Bavaria,minor
Berlin,52.5218,13.4015,Berlin,primary
Potsdam,52.4004,13.07,Brandenburg,admin
Cottbus,51.7704,14.33,Brandenburg,minor
Bremen,53.08,8.8,Bremen,admin
Bremerhaven,53.5504,8.58,Bremen,minor
Hamburg,53.55,10,Hamburg,admin
Frankfurt,50.1,8.675,Hesse,minor
Wiesbaden,50.0804,8.25,Hesse,admin
Kassel,51.3,9.5,Hesse,minor
Giessen,50.5837,8.65,Hesse,minor
Hannover,52.367,9.7167,Lower Saxony,admin
Braunschweig,52.25,10.5,Lower Saxony,minor
Osnabruck,52.2804,8.05,Lower Saxony,minor
Oldenburg,53.13,8.22,Lower Saxony,minor
Gottingen,51.5204,9.92,Lower Saxony,minor
Emden,53.3667,7.2167,Lower Saxony,minor
Rostock,54.0704,12.15,Mecklenburg-Western Pomerania,
Schwerin,53.6333,11.4167,Mecklenburg-Western Pomerania,admin
Stralsund,54.3004,13.1,Mecklenburg-Western Pomerania,minor
Essen,51.45,7.0166,North Rhine-Westphalia,minor
Duisburg,51.43,6.75,North Rhine-Westphalia,minor
Dusseldorf,51.2204,6.78,North Rhine-Westphalia,admin
Cologne,50.93,6.95,North Rhine-Westphalia,
Wuppertal,51.25,7.17,North Rhine-Westphalia,minor
Bonn,50.7205,7.08,North Rhine-Westphalia,minor
Dortmund,51.53,7.45,North Rhine-Westphalia,minor
Bielefeld,52.03,8.53,North Rhine-Westphalia,minor
Munster,51.9704,7.62,North Rhine-Westphalia,minor
Koblenz,50.3505,7.6,Rhineland-Palatinate,minor
Mainz,49.9825,8.2732,Rhineland-Palatinate,admin
Saarbrucken,49.2504,6.97,Saarland,admin
Dresden,51.05,13.75,Saxony,admin
Leipzig,51.3354,12.41,Saxony,minor
Chemnitz,50.83,12.92,Saxony,minor
Magdeburg,52.1304,11.62,Saxony-Anhalt,admin
Kiel,54.3304,10.13,Schleswig-Holstein,admin
Lubeck,53.8704,10.67,Schleswig-Holstein,minor
Flensburg,54.7837,9.4333,Schleswig-Holstein,minor
Erfurt,50.9701,11.03,Thuringia,admin
Jena,50.9304,11.58,Thuringia,minor
Gera,50.8704,12.07,Thuringia,minor
